Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$14.11,0.04,0.284%,29003966.00,United States,,2239,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.36,0.0016,0.446%,49399707.00,Canada,2015,353275,,
ACU,Acme United Corporation. Common Stock,$33.76,0.01,0.03%,120175033.00,United States,1988,2120,Consumer Durables,Home Furnishings
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.85,-0.03,-0.304%,141593750.00,United States,2021,17410,,
ADRT,Ault Disruptive Technologies Corporation Common Stock,$9.97,0.00,0.00%,143318750.00,,2022,25,,
AE,Adams Resources & Energy Inc. Common Stock,$37.79,-0.70,-1.819%,165061656.00,United States,,7225,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$6.89,0.12,1.773%,349679750.00,United States,,40148,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.8498,-0.0042,-0.492%,32244016.00,,2018,39677,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$1.06,0.00,0.00%,42071413.00,United States,,143314,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$17.10,-0.03,-0.175%,53872473.00,United States,2014,1743,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$0.83,-0.0049,-0.587%,26712073.00,United States,,90928,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.7204,-0.046,-6.002%,16742339.00,China,,395836,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$0.4569,-0.0131,-2.787%,103801680.00,United States,,1072128,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.34,0.00,0.00%,13731120.00,United States,,66434,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.37,0.17,4.048%,57419139.00,Canada,,103434,,
AREN,The Arena Group Holdings Inc. Common Stock,$10.00,-0.83,-7.664%,173348000.00,,,21257,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.10,0.21,4.294%,156708164.00,United States,,6185,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.939,-0.001,-0.106%,109152375.00,Canada,,195087,,
ASXC,Asensus Surgical Inc. Common Stock,$0.60,-0.0268,-4.276%,141845003.00,United States,,2147292,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$5.13,0.02,0.391%,113598587.00,United States,,39205,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,$0.4999,-0.0009,-0.18%,81386026.00,United States,,475369,Basic Industries,Metal Mining
AWX,Avalon Holdings Corporation Common Stock,$3.26,-0.015,-0.458%,12712145.00,United States,,1588,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$1.62,0.07,4.516%,251506461.00,Canada,,1246209,,
BATL,Battalion Oil Corporation Common Stock,$19.64,1.06,5.705%,320859269.00,,,15490,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$22.87,0.09,0.395%,134645021.00,United States,,10692,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.12,0.11,0.44%,,United States,,3340,,
BDL,Flanigan's Enterprises Inc. Common Stock,$33.7218,-0.9782,-2.819%,62676922.00,United States,,4531,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$0.585,-0.055,-8.594%,7252693.00,United States,,234679,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$5.35,0.1595,3.073%,98059845.00,Canada,,78650,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$28.78,0.16,0.559%,432062801.00,United States,,14507,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$2.55,0.00,0.00%,42963927.00,United States,,7662,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$8.61,0.06,0.702%,105096915.00,,2018,260424,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$15.09,-0.08,-0.527%,283237519.00,,,39280,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$26.62,0.05,0.188%,780957116.00,,2014,949909,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.30,0.01,0.04%,,,,25914,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.09,0.01,0.04%,,,,1351,,
